"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21490","22880","23630","24130","25340","25930","25640","26790","27310","27020","29820","30960","29680","31660","33900","27980","34400","32340","37310","33150","31800","32030","32580","33740","34340","34460","34480","35450","36710","36790","27940","33930","40290","43520","48900","",
"Africa Eastern and Southern","AFE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1769.70582185808","1782.14023814792","1696.82119243039","1715.3787700551","1727.23848651269","1829.24898730472","1918.16646774246","1993.82136620007","1995.20209592565","2014.52039383116","2081.44242639514","2147.63431678697","2213.64639857607","2273.51511053814","2401.06046498421","2557.55270118875","2733.19286934168","2899.77707210271","2987.8502243139","2977.06156573788","3067.5689509793","3175.48384770246","3129.04909231313","3246.41334578167","3398.10105902515","3433.72358507508","3551.36600359558","3736.14326440284","3617.84841328555","3690.99283182098","3621.07743816049","3923.28836862733","4248.82140682194","4397.94726236279","4511.30579455714","4730.69171906242",
"Afghanistan","AFG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","790","750","940","980","980","1090","1140","1300","1330","1570","1770","1740","1990","2140","2230","2300","2240","2360","2460","2620","2580","2160","2130","2210","2250","",
"Africa Western and Central","AFW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3766.73578789573","3917.9589306177","4115.23601280163","4286.82126514172","4436.04988254514","4628.68715049531","4978.27873327891","4957.17902204511","4887.80909258712","4927.47531555626","5070.59589710464","5376.9090965676","5340.91199911522","5572.06555637583","6054.03953059116","6341.78245768027","6625.2025735739","6924.88851476",
"Angola","AGO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3420","3740","2030","1800","1570","2690","2800","3220","3220","3040","3200","3320","3840","3960","4330","4890","5380","6030","6300","6620","6780","6960","7650","7960","8530","7710","7530","7700","7800","7940","7200","8110","8790","8820","9330","9840",
"Albania","ALB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2650","1960","1820","2190","2400","2820","3120","2820","3180","3630","4090","4590","4960","5300","5720","6130","6950","7790","8510","8890","9660","10280","10530","11070","11900","12530","13270","14140","15040","16230","16020","17960","21750","24530","26500","28170",
"Andorra","AND","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63070","58900","63830","71410","74310","76550","80950",
"Arab World","ARB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7177.12973235613","7398.803243336","7756.9892430832","7843.57298426915","7964.70647345572","8199.77183799793","8507.39810557709","8926.70294330661","9314.69790828812","9337.63763569985","9958.29847198382","10153.5984490136","10080.8010853494","10387.8968314206","11453.8115284006","12171.9744603203","13109.4417740111","13794.1498268959","14405.8156661751","14175.3607121469","14646.9745466597","15171.9417885904","16096.2098523263","16024.2336978512","15842.6392965922","14396.5167238842","13924.8220620149","14516.6614582194","15501.6731790704","15657.9564925376","14220.2705778962","15947.3132450291","17822.8404998966","18452.7559763051","18845.7740015893","19694.5272643317",
"United Arab Emirates","ARE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94250","89810","89610","87790","91050","96380","96300","99120","95290","87590","97430","94800","89210","92600","99130","102920","109090","104090","95770","85650","85100","89700","89270","87630","87610","74320","70370","70770","77700","80200","66440","68460","75070","80200","81640","",
"Argentina","ARG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6840","7710","8510","9350","9960","9710","10280","11160","11540","11160","11190","10800","9450","10490","10770","11930","14350","16020","16850","15680","17240","18560","18970","19500","19090","19530","19660","22790","23540","22590","21790","25770","29260","29600","29850","31920",
"Armenia","ARM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2660","2470","1250","1440","1590","1810","1980","2160","2310","2450","2610","2930","3400","3960","4560","5390","6360","7520","8290","7090","7450","7890","9300","10040","10170","10150","10820","12490","13080","15180","14470","15460","18680","20990","22050","24020",
"American Samoa","ASM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11770","12790","13120","14120","15070","14410","15400","16330","17030","17580","18360","17470","17760","18990","20400","22360","25640","28380","28580","24870","22820","22500","21550","20610","20720","19750","19930","20360","23390","25450","22380","24880","28290","30560","31870","34670",
